"SORTORDER","FILE_IN","ATTR_IN","CLASS_OUT","MODEL_NO","B","B_LOW","B_HI","B1","B2","D"
1,"formfile","PROF","CONVEX_D",4,5,0,0,2.5,0,2.5
2,"formfile","PROF","CONCAVE_D",5,-5,0,0,0,-2.5,2.5
3,"formfile","PROF","PLANAR_D",1,0,0,0,-2.5,2.5,2.5
4,"formfile","PLAN","CONVEX_A",4,5,0,0,2.5,0,2.5
5,"formfile","PLAN","CONCAVE_A",5,-5,0,0,0,-2.5,2.5
6,"formfile","PLAN","PLANAR_A",1,0,0,0,-2.5,2.5,2.5
7,"formfile","QWETI","HIGH_WI",4,7,0,0,3.5,0,3
8,"formfile","QWETI","LOW_WI",5,0.5,0,0,0,3.5,3
9,"formfile","SLOPE","NEAR_LEVEL",5,0.5,0,0,0,1,0.5
10,"formfile","SLOPE","REL_STEEP",4,2,0,0,1,0,1
11,"relzfile","PCTZ2ST","NEAR_DIV",4,90,0,0,75,0,15
12,"relzfile","PCTZ2ST","NEAR_HALF",1,50,50,50,25,75,25
13,"relzfile","PCTZ2ST","NEAR_CHAN",5,10,0,0,0,25,15
14,"relzfile","PCTZ2PIT","NEAR_PEAK",4,90,0,0,75,0,15
15,"relzfile","PCTZ2PIT","NEAR_MID",1,50,50,50,25,75,25
16,"relzfile","PCTZ2PIT","NEAR_PIT",5,5,0,0,0,10,5
17,"relzfile","Z2PIT","HI_ABOVE",4,2,0,0,1,0,1
